"動脈","どうみゃく","artery"
"賑わい","にぎわい","prosperity, bustle, activity, crowd, turnout"
"唐突","とうとつ","abrupt, sudden"
"見事","みごと","splendid, magnificent, excellent, fine, superb, beautiful, admirable; utter (esp. defeat), total, complete; something worth seeing, sight, spectacle"
"靡かせる","なびかせる","to fly, to flutter; to win over, to win one's heart, to subdue"
"(null)","",""
"均整","きんせい","symmetry, balance, proportion, uniformity"
"仏頂面","ぶっちょうづら","sour look"
"美貌","びぼう","beautiful face, good looks, beauty"
"台無し","だいなし","mess, spoiled, spoilt, (come to) nothing, ruin"
"敵対","てきたい","hostility, antagonism, opposition"
"獰猛","どうもう","ferocious, fierce, truculent, savage"
"頭部","とうぶ","head, cranium; cephalic"
"気高い","けだかい","sublime, noble, high-minded"
"上品","じょうひん","elegant, refined, polished"
"面構え","つらがまえ","expression (esp. fierce, fearless, sinister, etc.), look"
"たたむ","","to fold (clothes, umbrella); to close (a shop, business); to vacate"
"蝶","","butterfly"
"鋼色","はがねいろ","steel blue"
"覆う","おおう","to cover, to hide, to conceal, to wrap, to disguise"
"まるで","","quite, entirely, completely, at all; as if, as though, just like"
"脱出","だっしゅつ","escape, break-out; prolapse, proptosis"
"人波","ひとなみ","surging crowd, wave of humanity, stampede"
"恐れる","おそれる","to fear, to be afraid of"
"会う","あう","to meet, to encounter, to see; to have an accident, to have a bad experience"
"理不尽","りふじん","unreasonable, irrational, outrageous, absurd"
"早々","そうそう","as soon as..., just after..., immediately after...; hurriedly, in haste, quickly, promptly, early"
"不埒","ふらち","lawless, outrageous, insolent, rude, inexcusable, unpardonable"
"触る","さわる","to touch, to feel"
"突き落とす","つきおとす","to thrust down, to push off"
"不可抗力","ふかこうりょく","act of God, irresistible force, inevitability; force majeure, vis major"
"解剖学","かいぼうがく","anatomy"
"破壊","はかい","destruction, disruption; (application) crash"
"標本","ひょうほん","example, specimen, sample"
"馴れ合う","なれあう","to collude (with), to conspire (with); to make friends with, to get along well with; to become intimate (with opposite sex), to establish a secret liaison (with)"
"孤立","こりつ","isolation, being alone, being friendless"
"群がる","むらがる","to swarm, to gather"
